🍁,3166ye
Tweet Range : 1990-01-01:2030-01-01
Save Path : /c/yezArchive\3166ye
Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URl,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-08-11 19:53,🍁,@3166ye,https://twitter.com/yez3166/status/1822602238000595060/photo/1,Image,https://pbs.twimg.com/media/GUsvEigbQAAwBXb.jpg,2024-08-11 19-53-img_33.png,Tentacle ye (for video) https://t.co/YwDnEvedsP,189,14,3
2024-08-10 18:17,🍁,@3166ye,https://twitter.com/yez3166/status/1822215733155074472/photo/1,Image,https://pbs.twimg.com/media/GUnPi-VXsAADIOy.jpg,2024-08-10 18-17-img_38.png,https://t.co/FFmSJZ0ZlN,122,6,2
2024-08-11 09:02,🍁,@3166ye,https://twitter.com/yez3166/status/1822438373228786075/photo/1,Image,https://pbs.twimg.com/media/GUqaCaqXoAAT4kg.jpg,2024-08-11 09-02-img_37.png,https://t.co/Zly5Xk94mJ,160,9,0
2024-08-11 19:19,🍁,@3166ye,https://twitter.com/yez3166/status/1822593631565607185/photo/1,Image,https://pbs.twimg.com/media/GUsnPipaIAAdtxe.jpg,2024-08-11 19-19-img_35.png,From @RewsDraws https://t.co/zCHxnyzaSH,224,20,1
2024-08-11 11:13,🍁,@3166ye,https://twitter.com/yez3166/status/1822471470594814243/photo/1,Image,https://pbs.twimg.com/media/GUq4IzwWAAAm0hx.jpg,2024-08-11 11-13-img_36.png,https://t.co/eGysoHT1yD,213,21,1
2024-08-09 14:26,🍁,@3166ye,https://twitter.com/yez3166/status/1821795159656247798/photo/1,Image,https://pbs.twimg.com/media/GUhRCDHX0AA1YM3.jpg,2024-08-09 14-26-img_42.png,https://t.co/sQgkg31hba,464,44,4
2024-08-10 16:53,🍁,@3166ye,https://twitter.com/yez3166/status/1822194649907269819/photo/1,Image,https://pbs.twimg.com/media/GUm8Xw4XgAANtAG.jpg,2024-08-10 16-53-img_39.png,https://t.co/XvlBQAyMXZ,397,37,1
2024-08-10 07:59,🍁,@3166ye,https://twitter.com/yez3166/status/1822060081212756364/photo/1,Image,https://pbs.twimg.com/media/GUlB-wXWsAAcbF9.jpg,2024-08-10 07-59-img_40.png,https://t.co/yyLmnv7uNV,277,27,1
2024-08-09 14:27,🍁,@3166ye,https://twitter.com/yez3166/status/1821795428427305134/photo/1,Image,https://pbs.twimg.com/media/GUhRSASWUAAMBC_.jpg,2024-08-09 14-27-img_41.png,fanart https://t.co/kTuy5cprKi,316,24,2
2024-08-09 13:58,🍁,@3166ye,https://twitter.com/yez3166/status/1821788065662112197/photo/1,Image,https://pbs.twimg.com/media/GUhKlaUX0AAvbdV.jpg,2024-08-09 13-58-img_43.png,https://t.co/tGNEkLM3C2,189,13,1
2024-08-07 07:42,🍁,@3166ye,https://twitter.com/yez3166/status/1820968700494934238/photo/1,Image,https://pbs.twimg.com/media/GUVhYA8XkAAJ-ue.jpg,2024-08-07 07-42-img_44.png,Thanks 3k follow https://t.co/lcm2rABraI,1585,111,10
2024-08-05 13:09,🍁,@3166ye,https://twitter.com/yez3166/status/1820326343038394638/photo/1,Image,https://pbs.twimg.com/media/GUMZJe1W0AAowEv.jpg,2024-08-05 13-09-img_45.png,https://t.co/PsTb0xn9Ej,3123,193,8
2024-08-04 12:48,🍁,@3166ye,https://twitter.com/yez3166/status/1819958524304368115/photo/1,Image,https://pbs.twimg.com/media/GUHKnucaUAE_rS0.jpg,2024-08-04 12-48-img_48.png,https://t.co/lQGiBznikt,193,18,3
2024-08-05 03:35,🍁,@3166ye,https://twitter.com/yez3166/status/1820181911136031095/photo/1,Image,https://pbs.twimg.com/media/GUKVy_fWEAAN9sc.jpg,2024-08-05 03-35-img_46.png,https://t.co/RFoA0NqukA,399,33,3
2024-08-04 14:43,🍁,@3166ye,https://twitter.com/yez3166/status/1819987560409841736/photo/1,Image,https://pbs.twimg.com/media/GUHlCI4bIAAyEW3.jpg,2024-08-04 14-43-img_47.png,https://t.co/RomHWInwJD,529,68,6
2024-08-04 00:40,🍁,@3166ye,https://twitter.com/yez3166/status/1819775470558462053/photo/1,Image,https://pbs.twimg.com/media/GUEkIcka0AAYl04.jpg,2024-08-04 00-40-img_51.png,https://t.co/0GPPIKeJDK,202,15,1
